date,rating,deviation,n_faceoffs,wins,player_id,player_name
2016-10,1387.212491442856,84.72614949155216,242,87,8474038,Paul Byron
2016-11,1403.594171763543,86.48820527189496,243,88,8474038,Paul Byron
2016-12,1376.1269158877715,88.01788841536808,244,88,8474038,Paul Byron
2017-01,1454.8187999506106,96.31909620536453,246,90,8474038,Paul Byron
2017-02,1456.7397949683454,93.8156746599044,248,91,8474038,Paul Byron
2017-03,1480.4729362613323,88.70091242415289,251,93,8474038,Paul Byron
2017-04,1420.979264171791,84.40812370662921,254,93,8474038,Paul Byron
2017-10,1446.9326127529666,86.26085281682276,255,94,8474038,Paul Byron
2017-11,1461.8343234904632,87.95719252326346,256,95,8474038,Paul Byron
2017-12,1516.2910564215629,83.73161092318375,260,98,8474038,Paul Byron
2018-01,1490.6178328191654,56.17162034110871,291,111,8474038,Paul Byron
2018-02,1439.9881952020762,39.612100494076095,345,131,8474038,Paul Byron
2018-03,1448.0499749247454,45.668127387348335,352,134,8474038,Paul Byron
2018-04,1437.4698468169736,52.7861545549538,353,134,8474038,Paul Byron
2018-10,1412.5273974984725,53.8766076202972,362,136,8474038,Paul Byron
2018-11,1406.0566518865253,58.6165599059198,365,137,8474038,Paul Byron
2018-12,1397.6499696419182,61.79014863480835,368,138,8474038,Paul Byron
2019-01,1407.6413995146138,64.97521674766708,382,143,8474038,Paul Byron
2019-02,1402.2724178630972,68.05363078320649,384,144,8474038,Paul Byron
